'Swinoujscie';'RCKiK Szczecin OT Swinoujscie';'Mieszka 1-go 4';0
'Gryfice';'RCKiK Szczecin OT Gryfice';'Niechorska 27';0
'Kolobrzeg';'RCKiK Szczecin OT Kolobrzeg';'Lopuskiego 31';0
'Bialogard';'RCKiK Szczecin OT Bialogard';'Nowowiejskiego 7';0
'Koszalin';'RCKiK Szczecin OT Koszalin';'Chalubinskiego 7';0
'Lebork';'RCKiK Slupsk OT Lebork';'Wegrzynowicza 13';0
'Wejherowo';'RCKiK Gdansk OT Wejherowo';'Weteranow 10';0
'Gdynia';'RCKiK Gdansk OT Gdynia';'Powstania Styczniowego 9b';0
'Gdansk';'RCKiK Gdansk OT Gdansk';'Polanki 117';0
'Kartuzy';'RCKiK Gdansk OT Kartuzy';'Floriana Ceynowy 7';0
'Koscierzyna';'RCKiK Gdansk OT Koscierzyna';'Alojzego Piechowskiego 36';0
'Chojnice';'RCKiK Slupsk OT Chojnice';'Lesna 10';0
'Starogard Gdanski';'RCKiK Gdansk OT Starogard Gdanski';'dr Jozefa Balewskiego 1';0
'Tczew';'RCKiK Gdansk OT Tczew';'Piaskowa 3';0
'Malbork';'RCKiK Gdansk OT Malbork';'Kotarbinskiego 14';0
'Elblag';'RCKiK Olsztyn OT Elblag';'Bema 80';0
'Paslek';'RCKiK Olsztyn OT Paslek';'Plac Grunwaldzki 8';0
'Bartoszyce';'RCKiK Olsztyn OT Bartoszyce';'Wyszynskiego 11';0
'Gizycko';'RCKiK Olsztyn OT Gizycko';'Bohaterow Westerplatte 4';0
'Suwalki';'RCKiK Bialystok OT Suwalki';'Szpitalna 60';0
'Lomza';'RCKiK Bialystok OT Lomza';'Al. Pilsudskiego 11';0
'Nidzica';'RCKiK Olsztyn OT Nidzica';'Traugutta 13';0
'Mlawa';'RCKiK Warszawa OT Mlawa';'A. Dobrskiej 1';0
'Ciechanow';'RCKiK Warszawa OT Ciechanow';'Powstancow Wielkopolskich 2';0
'Bielsk Podlaski';'RCKiK Bialystok OT Bielsk Podlaski';'Kleszczelowska 1c';0
'Hajnowka';'RCKiK Bialystok OT Hajnowka';'Doc Adama Dowgirda 9';0
'Biala Podlaska';'RCKiK Lublin OT Biala Podlaska';'Jana III Sobieskiego 8';0
'Siedlce';'RCKiK Warszawa OT Siedlce';'Forminskiego 14';0
'Lukow';'RCKiK Lublin OT Lukow';'Andrzeja Rogalinskiego 3';0
'Wlodawa';'RCKiK Lublin OT Wlodawa';'Al. J. Pilsudskiego 66';0
'Chelm';'RCKiK Lublin OT Chelm';'Szpitalna 53';0
'Zamosc';'RCKiK Lublin OT Zamosc';'Al. Jana Pawla II 10';0
'Tomaszow Lubelski';'RCKiK Lublin OT Tomaszow Lubelski';'Lwowska 82';0
'Przemysl';'RCKiK Rzeszow OT Przemysl';'Monte Cassino 18';0
'Sanok';'RCKiK Rzeszow OT Sanok';'Konarskiego 24';0
'Lezajsk';'RCKiK Rzeszow OT Lezajsk';'Lesna 22';0
'Stalowa Wola';'RCKiK Rzeszow OT Stalowa Wola';'Staszica 4';0
'Krasnik';'RCKiK Lublin OT Krasnik';'Al. Niepodleglości 25';0
'Krosno';'RCKiK Rzeszow OT Krosno';'Korczynska 57';0
'Mielec';'RCKiK Rzeszow OT Mielec';'Zeromskiego 17';0
'Debica';'RCKiK Rzeszow OT Debica';'Krakowska 91';0
'Jaslo';'RCKiK Rzeszow OT Jaslo';'Lwowska 22';0
'Gorlice';'RCKiK Krakow OT Gorlice';'Wegierska 21';0
'Nowy Sacz';'RCKiK Krakow OT Nowy Sacz';'Kazimierza Wielkiego 9a';0
'Limanowa';'RCKiK Krakow OT Limanowa';'Pilsudskiego 61';0
'Bochnia';'RCKiK Krakow OT Bochnia';'Krakowska 31';0
'Nowy Targ';'RCKiK Krakow OT Nowy Targ';'Szpitalna 12';0
'Zakopane';'RCKiK Krakow OT Zakopane';'Szymony 14';0
'Sucha Beskidzka';'RCKiK Krakow OT Sucha Beskidzka';'Szpitalna 22';0
'Wadowice';'RCKiK Krakow OT Wadowice';'Karmelicka 5';0
'Myslenice';'RCKiK Krakow OT Myslenice';'Szpitalna 2';0
'Cieszyn';'RCKiK Katowice OT Cieszyn';'Bielska 4';0
'Bielsko-Biala';'RCKiK Katowice OT Bielsko-Biala';'Wyspianskiego 21';0
'Oswiecim';'RCKiK Krakow OT Oswiecim';'Wysokie Brzegi 4';0
'Pszczyna';'RCKiK Katowice OT Pszczyna';'Biskupa Bednorza 10';0
'Jastrzebie-Zdroj';'RCKiK Raciborz OT Jastrzebie-Zdroj';'Jana Pawla II 7';0
'Wodzislaw Slaski';'RCKiK Raciborz OT Wodzislaw Slaski';'Radlinska 68';0
'Rybnik';'RCKiK Raciborz OT Rybnik';'Rudzka 15';0
'Kedzierzyn-Kozle';'RCKiK Opole OT Kedzierzyn-Kozle';'Koszykowa 5B';0
'Czestochowa';'RCKiK Katowice OT Czestochowa';'Kopernika 38';0
'Kluczbork';'RCKiK Opole OT Kluczbork';'Katowicka 26';0
'Brzeg';'RCKiK Opole OT Brzeg';'Mossora 1';0
'Nysa';'RCKiK Opole OT Nysa';'Pilsudskiego 47';0
'Ostrzeszow';'RCKiK Kalisz OT Ostrzeszow';'Zamkowa 17';0
'Ostrow Wielkopolski';'RCKiK Kalisz OT Ostrow Wielkopolski';'Limanowskiego 20-22';0
'Krotoszyn';'RCKiK Kalisz OT Krotoszyn';'Bolewskiego 8';0
'Legnica';'RCKiK Wroclaw OT Legnica';'Iwaszkiewicza 5';0
'Lubin';'RCKiK Wroclaw OT Lubin';'Bema 5';0
'Glogow';'RCKiK Wroclaw OT Glogow';'Kosciuszki 15';0
'Zagan';'RCKiK Zielona Gora OT Zagan';'Szprotawska 45a';0
'Zary';'RCKiK Zielona Gora OT Zary';'Skarbowa 2';0
'Leszno';'RCKiK Poznan OT Leszno';'Kiepury 45';0
'Srem';'RCKiK Poznan OT Srem';'Chelmonskiego 1';0
'Koscian';'RCKiK Poznan OT Koscian';'Szpitalna 7';0
'Wolsztyn';'RCKiK Poznan OT Wolsztyn';'Wschowska 3';0
'Nowy Tomysl';'RCKiK Poznan OT Nowy Tomysl';'Sienkiewicza 7';0
'Miedzyrzecz';'RCKiK Zielona Gora OT Miedzyrzecz';'Konstytucji 3 Maja 24';0
'Sulecin';'RCKiK Zielona Gora OT Sulecin';'Dudka 15';0
'Gorzow Wielkopolski';'RCKiK Zielona Gora OT Gorzow Wielkopolski';'Dekerta 1';0
'Szamotuly';'RCKiK Poznan OT Szamotuly';'Sukiennicza 13';0
'Czarnkow';'RCKiK Poznan OT Czarnkow';'Kosciuszki 91';0
'Pila';'RCKiK Poznan OT Pila';'Rydygiera 1';0
